Ulrike-Günther-Platz 145
Sigurd-Kühn-Allee 8/6
Meyerring 3/0
Gilbert-Konrad-Ring 2
Moritzweg 0
Wolf-Dieter-Ziegler-Platz 3/2
Henny-Wiedemann-Ring 9/1
Bianka-Mann-Weg 2/3
Hans-Wilhelm-Gasse 0/3
Sonntagallee 13
Herbststraße 1
Adamplatz 0
Brunhilde-Hecht-Allee 5/9
Schumacherweg 2
Hillerring 026
Mackweg 734
Larissa-Hartmann-Ring 9
Irina-Büttner-Gasse 4/6
Albertweg 24
Hagenweg 783
Möllerplatz 62
Zieglerstraße 65
Elke-Döring-Platz 82
Monica-Seiler-Gasse 82
Jacobgasse 8/6
Hauserstr. 43
Klaus Peter-Albrecht-Platz 7
Wolfweg 13
Bernhard-Baumann-Platz 810
Singerstraße 5
Carla-Langer-Weg 2
Heroldstr. 416
Berta-Scharf-Straße 6/8
Riegergasse 62
Gerti-Hauser-Platz 11
Boris-Hartung-Allee 36
Zimmergasse 3
Reichertstr. 302
Blankgasse 3
Isabelle-Wiegand-Platz 62
Rennerweg 2/9
Rosemarie-Münch-Allee 40
Rebecca-Heß-Weg 4/4
Fuhrmannring 274
Edelgard-Krauß-Allee 246
Straubring 416
Siegmar-Bergmann-Platz 38
Wittring 945
Melanie-Beck-Weg 6
Harmsstr. 4/4
Meyerallee 089
Friedrichallee 24
Wiltrud-Ludwig-Allee 78
Hans-Georg-Pietsch-Weg 8
Gerold-Merz-Gasse 7
Hessring 3
Bertram-Schiller-Platz 7/4
Georg-Thiele-Gasse 3
Straubstraße 31
Geislerring 20
Lisa-Reuter-Weg 19
Eva-Busse-Ring 14
Andree-Ackermann-Ring 176
Hinzgasse 16
Silvio-Riedl-Straße 4
Wenzel-Mack-Gasse 5
Opitzallee 741
Gottlieb-Stahl-Gasse 0
Anny-Geißler-Allee 54
Schröterweg 8/6
Nikolaos-Scherer-Gasse 4/8
David-Rau-Ring 88
Anastasia-Behrendt-Platz 847
Salvatore-Bayer-Gasse 31
Wilkestraße 013
Till-Hartung-Straße 21
Mandy-Martin-Allee 90
Bernhardtring 871
Isabell-Schuster-Gasse 5
Edelgard-Krieger-Platz 97
Jennifer-Klaus-Gasse 8
Körnerweg 0/3
Baierstraße 3
Springergasse 43
Buckring 579
Sonja-Scholz-Straße 80
Nikolaj-Schmitt-Straße 0
Theo-Fricke-Straße 2
Reinhild-Kohl-Ring 5/6
Ricarda-Schmid-Allee 936
Brunnerring 8/9
Reimund-Fuhrmann-Gasse 970
Kochgasse 32
Reinhard-Möller-Platz 2
Monique-Hoffmann-Allee 2/5
Weißweg 3/5
Marie-Luise-Wulf-Straße 3
Moritzallee 851
Kösterallee 7
Seilerstraße 9/6
Catrin-Hoffmann-Ring 1
Heilgasse 5/6
Marco-Jost-Platz 53
Alexandra-Walther-Straße 8/7
Böttcherstraße 1/6
Kuhnstr. 48
Seidlweg 96
Heinz-Dieter-Hennig-Ring 93
Burgerplatz 28
Strobelgasse 900
Heldplatz 82
Blockweg 669
Krögerallee 5
Margitta-Graf-Allee 106
Fuchsallee 8/0
Schulzring 899
Blankgasse 14
Armin-Geißler-Weg 25
Helena-Moser-Platz 0
Mareike-Klaus-Ring 9/7
Philip-Löffler-Platz 1/9
Cordula-Kurz-Weg 36
Wulf-Holz-Weg 1
Annette-Menzel-Ring 21
Kramerstraße 5
Regine-Franz-Allee 2/2
Schusterplatz 131
Andy-Lehmann-Ring 0/5
Stephangasse 5/3
Nagelweg 6/6
Leo-Hein-Allee 9/8
Wiebke-Jäger-Straße 5/5
Bartelsstr. 174
Schottallee 240
Vogtstr. 92
Rafael-Bühler-Weg 350
Harri-Vogt-Weg 97
Edgar-Kohl-Weg 92
Schreiberstraße 6/6
Probstallee 48
Rothplatz 1
Meinhard-Schlüter-Straße 6/5
Willibald-Erdmann-Gasse 01
Ariane-Löffler-Weg 80
Raustraße 26
Gebhard-Reimer-Gasse 5
Jolanta-Pfeifer-Allee 0/8
Konstantinos-Böttcher-Allee 72
Rüdiger-Klaus-Straße 8
Rolf-Dieter-Rau-Ring 0/2
Steinerstraße 3
Schmidgasse 56
Ivonne-Wahl-Straße 7/2
Leonhard-Scherer-Allee 4/2
Lemkegasse 823
Hilda-Kaufmann-Allee 655
Monika-Rieger-Gasse 99
Thielegasse 6
Margarethe-Günther-Straße 9/0
Conradweg 0
Norman-Ulrich-Allee 358
Elfriede-Köhler-Allee 16
Münchallee 189
Schrammgasse 2/2
Ulla-Otto-Allee 9/5
Esserring 848
Willstraße 2
Römerring 4
Gesa-Mayer-Gasse 4/0
Krausstraße 7
Kriegergasse 58
Wittmanngasse 307
Weigelallee 08
Beckerallee 969
Claus-Thiel-Allee 041
Ludger-Schuster-Straße 902
Bertramweg 802
Steffi-Reiter-Gasse 8
Millerplatz 39
Henri-Thiel-Ring 0/0
Bernard-Heß-Weg 07
Meyerplatz 5
Wilhelmine-Beyer-Weg 9
Steffen-Keßler-Straße 147
Schmitzweg 1
Konstantinos-Buck-Weg 996
Freyring 2
Jungstr. 24
Seegerplatz 2
Sigrun-Münch-Gasse 1/6
Gaby-Wegener-Weg 354
Dimitri-Straub-Weg 934
Fredi-Merkel-Allee 378
Fritschring 731
Hella-Büttner-Ring 2/7
Aloisia-Hagen-Ring 633
Emilie-Gross-Platz 813
Bauerallee 8
Samuel-Wiesner-Ring 14
Else-Pohl-Allee 2/4
Kraußallee 7
Naumannstr. 4/5
Jasmin-Klose-Gasse 960
Susanna-Ziegler-Gasse 3
Moritzweg 815
Stephanstraße 104
Lohmanngasse 2
Mike-Kaiser-Allee 14
Marlene-Anders-Platz 3/5
Bernhardtstraße 2/0
Falkgasse 77
Niels-Herbst-Weg 495
Klemmweg 273
Winklerplatz 98
Schlegelplatz 5/6
Gärtnerstr. 55
Schreibergasse 1/0
Stefanie-Sonntag-Gasse 54
Carina-Rupp-Ring 726
Wimmerstraße 1/0
Manuela-Jansen-Gasse 1
Wladimir-Bach-Straße 5
Oskar-Seifert-Allee 1/6
Ulrike-Nagel-Gasse 6/4
Wittmannstr. 223
Amalie-Langer-Allee 4/9
Hans-Günter-Hohmann-Ring 7
Baumgartnerstr. 208
Regina-Seiler-Straße 9/4
Ingrid-Franz-Ring 99
Holzallee 6/4
Merzplatz 4
Hiltrud-Werner-Weg 412
Mark-Kraus-Straße 57
Harald-Siebert-Allee 4/6
Leonore-Giese-Straße 018
Marian-Albert-Straße 240
Johanne-Köster-Gasse 286
Klemmweg 9/5
Alexandra-Völker-Weg 9/1
Auerstraße 9/4
Aloys-Eberhardt-Platz 232
Renate-Thiel-Gasse 684
Horst-Blank-Straße 676
Baumring 84
Maja-Jacob-Straße 0
Elena-Bischoff-Weg 4/7
Jostring 79
Schenkring 3
Albertplatz 873
Seegerplatz 0/9
Rüdiger-Henning-Allee 078
Straußring 7
Benderstraße 39
Kraußplatz 0
Burghard-Schaller-Allee 04
Waltherallee 31
Ludwig-Bittner-Weg 013
Hübnergasse 850
Emine-Busch-Ring 8/0
Nikolaj-Becker-Ring 5/8
Hofmannstr. 44
Gunter-Schiller-Ring 5
Arndtweg 1/4
Judith-Voß-Straße 069
Neubauerring 9/4
Wolfgasse 8
Franzplatz 9/6
